Constituency_Tree,Named_Entities,POS_Tags,Semantic_Roles,Sentence,SentenceID
[u'(TOP (S (NP (NP (NNP Harry) (NNP Woodward)) (JJ first)) (VP (VBD described) (NP (NP (DT a) (JJ mathematical) (NN relationship)) (PP (IN between) (NP (NP (DT the) (NN duration) (CC and) (NNS intervals)) (PP (IN of) (NP (DT the) (NNS eruptions))) (PRN (-LRB- -LRB-) (CD 1938) (-RRB- -RRB-)))))) (. .)))'],"[{u'Tokens': [{u'NormalizedToken': u'PERS', u'RawToken': None, u'Len': 14, u'Offset': 0}], u'Len': 0, u'Offset': 0}]","[[u'NNP', u'NNP', u'RB', u'VBD', u'DT', u'JJ', u'NN', u'IN', u'DT', u'NN', u'CC', u'NNS', u'IN', u'DT', u'NNS', u'-LRB-', u'CD', u'-RRB-', u'.']]","[[u'3-3/described[A0=0-2/Harry_Woodward_first, A1=4-17/a_mathematical_relationship_between_the_duration_and_intervals_of_the_eruptions_-LRB-_1938_-RRB-]']]",Harry Woodward first described a mathematical relationship between the duration and intervals of the eruptions (1938).,c7f05cc7-653c-4bd4-b084-2eb8a852a69c
"[u'(TOP (S (NP (NNS Pustules)) (VP (VP (MD can) (VP (VB form) (PP (IN on) (NP (NP (DT the) (NN eyelid) (, ,) (NN conjunctiva) (, ,) (CC and) (NN cornea)) (, ,) (VP (VBG leading) (PP (TO to) (NP (NP (NNS complications)) (PP (JJ such) (IN as) (NP (NNS conjunctivitis) (, ,) (NP (NNS keratitis) (, ,) (JJ corneal) (NN ulcer)) (, ,))) (VBZ iritis)))) (, ,))) (VBZ iridocyclitis))) (, ,) (CC and) (VP (VBP optic) (JJ atrophy))) (. .)))']","[{u'Tokens': [], u'Len': 0, u'Offset': 0}]","[[u'NNS', u'MD', u'VB', u'IN', u'DT', u'NN', u',', u'NN', u',', u'CC', u'NN', u',', u'VBG', u'TO', u'NNS', u'JJ', u'IN', u'NN', u',', u'NN', u',', u'JJ', u'NN', u',', u'VBZ', u',', u'NN', u',', u'CC', u'JJ', u'NN', u'.']]","[[u'2-2/form[A0=0-0/Pustules, AM-MOD=1-1/can, A2=3-25/on_the_eyelid_,_conjunctiva_,_and_cornea_,_leading_to_complications_such_as_conjunctivitis_,_keratitis_,_corneal_ulcer_,_iritis_,]', u'12-12/leading[A0=4-10/the_eyelid_,_conjunctiva_,_and_cornea, A2=13-24/to_complications_such_as_conjunctivitis_,_keratitis_,_corneal_ulcer_,_iritis]', u'24-24/iritis[A1=14-14/complications, A1=15-23/such_as_conjunctivitis_,_keratitis_,_corneal_ulcer_,]', u'29-29/optic[A0=0-0/Pustules]']]","Pustules can form on the eyelid, conjunctiva , and cornea , leading to complications such as conjunctivitis , keratitis , corneal ulcer , iritis , iridocyclitis , and optic atrophy .",89ff3659-1ad6-4ec5-8ea2-8ec8be8799b9
"[u'(TOP (S (NP (DT The) (JJS largest) (JJ Jewish) (JJ religious) (NNS movements)) (VP (VBP are) (NP (NP (NP (NNP Orthodox) (NNP Judaism)) (PRN (-LRB- -LRB-) (NP (NP (NNP Hareidi) (NNP Judaism)) (CC and) (NP (NNP Modern) (NNP Orthodox) (NNP Judaism))) (-RRB- -RRB-))) (, ,) (NP (NNP Conservative) (NNP Judaism) (CC and) (NNP Reform) (NNP Judaism)))) (. .)))']","[{u'Tokens': [{u'NormalizedToken': u'PERS', u'RawToken': None, u'Len': 6, u'Offset': 12}, {u'NormalizedToken': u'PERS', u'RawToken': None, u'Len': 15, u'Offset': 62}, {u'NormalizedToken': u'ORG', u'RawToken': None, u'Len': 12, u'Offset': 109}, {u'NormalizedToken': u'PERS', u'RawToken': None, u'Len': 14, u'Offset': 134}], u'Len': 0, u'Offset': 0}]","[[u'DT', u'JJS', u'JJ', u'JJ', u'NNS', u'VBP', u'NNP', u'NNP', u'-LRB-', u'NNP', u'NNP', u'CC', u'NNP', u'NNP', u'NNP', u'-RRB-', u',', u'NNP', u'NNP', u'CC', u'NNP', u'NNP', u'.']]","[[u'5-5/are[A0=0-4/The_largest_Jewish_religious_movements, A1=6-21/Orthodox_Judaism_-LRB-_Hareidi_Judaism_and_Modern_Orthodox_Judaism_-RRB-_,_Conservative_Judaism_and_Reform_Judaism]']]","The largest Jewish religious movements are Orthodox Judaism ( Hareidi Judaism and Modern Orthodox Judaism ), Conservative Judaism and Reform Judaism .",2312b9f5-383b-4ef0-b8a9-e3f6cb3d49f2
"[u'(TOP (S (NP (NP (JJ Central) (NN aspect)) (PP (IN of) (NP (NN globalisation)))) (VP (VBZ has) (VP (VBN been) (NP (NP (DT the) (NN development)) (PP (IN of) (NP (NP (DT a) (NNP Global) (NNP Information) (NNP System)) (, ,) (CC and) (NP (JJR greater) (JJ transborder) (NX (NX (NNS data) (NN flow)) (, ,) (NX (VP (VBG using) (NP (JJ such) (NNS technologies)) (PP (IN as) (NP (DT the) (NNP Internet)))) (, ,) (NX (NX (NN communication) (NNS satellites)) (, ,) (NN submarine)) (NN fiber)) (NX (NX (JJ optic) (NN cable)) (, ,) (CC and) (VP (VBZ wireless) (NP (NNS telephones))) (, ,) (SBAR (WHNP (WDT which)) (S (VP (VP (VBD increased) (NP (NP (DT the) (NN number)) (PP (IN of) (NP (NP (NNS standards)) (VP (VBN applied) (ADVP (RB globally)) (PRN (-LRB- -LRB-) (NP (NP (NNP e.g.)) (, ,) (NP (NN copyright) (NNS laws)) (, ,) (NP (NNS patents)) (CC and) (NP (NN world) (NN trade) (NNS agreements))) (-RRB- -RRB-))))))) (CC but) (ADVP (RB also)) (VP (VBZ affects) (NP (NP (JJ Legal/Ethical) (NNS norms)) (PP (JJ such) (IN as) (NP (NP (NP (DT the) (NN creation)) (PP (IN of) (NP (DT the) (JJ international) (JJ criminal) (NN court)))) (CC and) (NP (JJ international) (NN justice) (NNS movements)))))))))) (, ,) (NX (NN crime) (NN importation)) (CC and) (VP (VBG raising) (NP (NP (NN awareness)) (PP (IN of) (NP (JJ global) (JJ crime-fighting) (NNS efforts) (CC and) (NN cooperation)))) (, ,) (NP (NP (DT the) (NN emergence)) (PP (IN of) (NP (JJ Global) (JJ administrative) (NN law)))))))))))) (. .)))']","[{u'Tokens': [{u'NormalizedToken': u'ORG', u'RawToken': None, u'Len': 25, u'Offset': 62}, {u'NormalizedToken': u'ORG', u'RawToken': None, u'Len': 8, u'Offset': 156}], u'Len': 0, u'Offset': 0}]","[[u'JJ', u'NN', u'IN', u'NN', u'VBZ', u'VBN', u'DT', u'NN', u'IN', u'DT', u'NNP', u'NNP', u'NNP', u',', u'CC', u'JJR', u'NN', u'NNS', u'VBP', u',', u'VBG', u'JJ', u'NNS', u'IN', u'DT', u'NNP', u',', u'NN', u'NNS', u',', u'NN', u'NN', u'JJ', u'NN', u',', u'CC', u'JJ', u'NNS', u',', u'WDT', u'VBD', u'DT', u'NN', u'IN', u'NNS', u'VBN', u'RB', u'-LRB-', u'NN', u',', u'NN', u'NNS', u',', u'NNS', u'CC', u'NN', u'NN', u'NNS', u'-RRB-', u'CC', u'RB', u'VBZ', u'JJ', u'NNS', u'JJ', u'IN', u'DT', u'NN', u'IN', u'DT', u'JJ', u'JJ', u'NN', u'CC', u'JJ', u'NN', u'NNS', u',', u'NN', u'NN', u'CC', u'VBG', u'NN', u'IN', u'JJ', u'JJ', u'NNS', u'CC', u'NN', u',', u'DT', u'NN', u'IN', u'JJ', u'JJ', u'NN', u'.']]","[[u'5-5/been[A0=0-3/Central_aspect_of_globalisation, A1=6-95/the_development_of_a_Global_Information_System_,_and_greater_transborder_data_flow_,_using_such_technologies_as_the_Internet_,_communication_satellites_,_submarine_fiber_optic_cable_,_and_wireless_telephones_,_which_increased_the_number_of_standards_applied_globally_-LRB-_e.g._,_copyright_laws_,_patents_and_world_trade_agreements_-RRB-_but_also_affects_Legal/Ethical_norms_such_as_the_creation_of_the_international_criminal_court_and_international_justice_movements_,_crime_importation_and_raising_awareness_of_global_crime-fighting_efforts_and_cooperation_,_the_emergence_of_Global_administrative_law]', u'20-20/using[A0=9-12/a_Global_Information_System, A1=21-22/such_technologies, A2=23-25/as_the_Internet]', u'36-36/wireless[A1=32-33/optic_cable, A1=37-37/telephones, AM-ADV=39-76/which_increased_the_number_of_standards_applied_globally_-LRB-_e.g._,_copyright_laws_,_patents_and_world_trade_agreements_-RRB-_but_also_affects_Legal/Ethical_norms_such_as_the_creation_of_the_international_criminal_court_and_international_justice_movements]', u'40-40/increased[R-A0=39-39/which, A1=41-58/the_number_of_standards_applied_globally_-LRB-_e.g._,_copyright_laws_,_patents_and_world_trade_agreements_-RRB-, AM-DIS=60-60/also]', u'45-45/applied[A1=44-44/standards, AM-TMP=46-46/globally, AM-ADV=47-58/-LRB-_e.g._,_copyright_laws_,_patents_and_world_trade_agreements_-RRB-]', u'61-61/affects[R-A0=39-39/which, AM-DIS=60-60/also, A1=62-76/Legal/Ethical_norms_such_as_the_creation_of_the_international_criminal_court_and_international_justice_movements]', u'81-81/raising[A1=17-18/data_flow, AM-ADV=20-31/using_such_technologies_as_the_Internet_,_communication_satellites_,_submarine_fiber, A1=82-88/awareness_of_global_crime-fighting_efforts_and_cooperation, A1=90-95/the_emergence_of_Global_administrative_law]']]","Central aspect of globalisation has been the development of a Global Information System , and greater transborder data flow, using such technologies as the Internet , communication satellites , submarine fiber optic cable , and wireless telephones , which increased the number of standards applied globally (e.g., copyright laws , patents and world trade agreements) but also affects Legal/Ethical norms such as the creation of the international criminal court and international justice movements , crime importation and raising awareness of global crime-fighting efforts and cooperation, the emergence of Global administrative law .",f2d61503-b633-400b-93ab-3e850fb31451
"[u""(TOP (S (FRAG (ADJP (JJ McCartney) (PP (IN in) (NP (JJ particular) (NNS offers)))) (NP (JJ several) (NNS gems)) (: :) (NP (NP (DT the) (NN gospel-ish)) (`` `) (VP (VB Let) (S (NP (PRP It)) (NP (NP (NNP Be) (POS ')) (, ,) (SBAR (WHNP (WDT which)) (S (VP (VBZ has) (NP (NP (DT some)) (PP (IN of) (NP (PRP$ his) (JJS best) (NNS lyrics))))))))))) (: ;) (`` `) (VB Get) (RB Back) ('' ')) (, ,) (NP (NP (NP (CD one)) (PP (IN of) (NP (PRP$ his) (JJS hardest) (NNS rockers)))) (: ;) (CC and) (NP (NP (DT the) (NN melodic)) (`` `) (NP (DT The) (NNP Long) (CC and) (NNP Winding) (NNP Road) (POS '))) (, ,)) (VP (VBN ruined) (PP (IN by) (NP (NP (NNP Spector) (POS 's)) (JJ heavy-handed) (NNS overdubs)))) (. .) ('' ')))""]","[{u'Tokens': [{u'NormalizedToken': u'LOC', u'RawToken': None, u'Len': 9, u'Offset': 0}, {u'NormalizedToken': u'PERS', u'RawToken': None, u'Len': 5, u'Offset': 115}, {u'NormalizedToken': u'LOC', u'RawToken': None, u'Len': 12, u'Offset': 180}], u'Len': 0, u'Offset': 0}]","[[u'NNP', u'IN', u'JJ', u'NNS', u'JJ', u'NNS', u':', u'DT', u'NN', u'``', u'VB', u'PRP', u'VB', u""''"", u',', u'WDT', u'VBZ', u'DT', u'IN', u'PRP$', u'JJS', u'NNS', u':', u'``', u'VB', u'RB', u'POS', u',', u'CD', u'IN', u'PRP$', u'JJS', u'NNS', u':', u'CC', u'DT', u'JJ', u'``', u'DT', u'NNP', u'CC', u'NNP', u'NNP', u'POS', u',', u'VBN', u'IN', u'NNP', u'POS', u'JJ', u'NNS', u'.', u""''""]]","[[u""10-10/Let[A0=7-8/the_gospel-ish, A1=11-21/It_Be_'_,_which_has_some_of_his_best_lyrics]"", u""16-16/has[A0=12-13/Be_', R-A0=15-15/which, A1=17-21/some_of_his_best_lyrics]"", u""24-24/Get[A2=0-3/McCartney_in_particular_offers, A1=4-5/several_gems, A1=7-21/the_gospel-ish_`_Let_It_Be_'_,_which_has_some_of_his_best_lyrics, A2=25-25/Back, A1=28-44/one_of_his_hardest_rockers_;_and_the_melodic_`_The_Long_and_Winding_Road_'_,]"", u""45-45/ruined[A1=0-26/McCartney_in_particular_offers_several_gems_:_the_gospel-ish_`_Let_It_Be_'_,_which_has_some_of_his_best_lyrics_;_`_Get_Back_', A1=28-44/one_of_his_hardest_rockers_;_and_the_melodic_`_The_Long_and_Winding_Road_'_,, A0=46-50/by_Spector_'s_heavy-handed_overdubs]""]]","McCartney in particular offers several gems: the gospel-ish ' Let It Be' , which has some of his best lyrics; 'Get Back', one of his hardest rockers; and the melodic 'The Long and Winding Road', ruined by Spector's heavy-handed overdubs.'",07abfbd8-733c-4e87-b1d7-6abaf2cd4b6a
[u'(TOP (S (NP (NP (DT The) (NN origin)) (PP (IN of) (NP (NP (JJ vaccinia) (NNS virus)) (CC and) (SBAR (WHADVP (WRB how)) (S (NP (PRP it)) (VP (VBD came) (S (VP (TO to) (VP (VB be) (PP (IN in) (NP (DT the) (NN vaccine)))))))))))) (VP (VBP are) (RB not) (VP (VBN known))) (. .)))'],"[{u'Tokens': [], u'Len': 0, u'Offset': 0}]","[[u'DT', u'NN', u'IN', u'NN', u'NN', u'CC', u'WRB', u'PRP', u'VBD', u'TO', u'VB', u'IN', u'DT', u'NN', u'VBP', u'RB', u'VBN', u'.']]","[[u'8-8/came[R-AM-MNR=6-6/how, A1=7-7/it, AM-PNC=9-13/to_be_in_the_vaccine]', u'10-10/be[A0=7-7/it, AM-LOC=11-13/in_the_vaccine]', u'16-16/known[A1=0-13/The_origin_of_vaccinia_virus_and_how_it_came_to_be_in_the_vaccine, AM-NEG=15-15/not]']]",The origin of vaccinia virus and how it came to be in the vaccine are not known.,3267bb0a-5478-4cbf-becb-01340d363afe
"[u'(TOP (S (PP (JJ Due) (TO to) (NP (NP (DT the) (NN distance)) (PP (IN of) (NP (NP (NN trade)) (PP (IN for) (NP (DT this) (JJ raw) (NN material))))))) (, ,) (NP (NP (DT a) (ADJP (RB sufficiently) (JJ lengthy)) (NN disruption)) (PP (IN of) (NP (DT the) (NN trade) (NNS routes)))) (VP (MD could) (VP (VB have) (VP (VP (VBD ended) (NP (NP (DT the) (NN production)) (PP (IN of) (NP (NNP Damascus) (NN steel))))) (CC and) (VP (ADVP (RB eventually)) (VBD led) (PP (TO to) (NP (NP (DT the) (NN loss)) (PP (IN of) (NP (DT the) (NN technique))))))))) (. .)))']","[{u'Tokens': [{u'NormalizedToken': u'LOC', u'RawToken': None, u'Len': 3, u'Offset': 0}, {u'NormalizedToken': u'LOC', u'RawToken': None, u'Len': 8, u'Offset': 141}], u'Len': 0, u'Offset': 0}]","[[u'JJ', u'TO', u'DT', u'NN', u'IN', u'NN', u'IN', u'DT', u'JJ', u'NN', u',', u'DT', u'RB', u'JJ', u'NN', u'IN', u'DT', u'NN', u'NNS', u'MD', u'VB', u'VBN', u'DT', u'NN', u'IN', u'NNP', u'NN', u'CC', u'RB', u'VBN', u'TO', u'DT', u'NN', u'IN', u'DT', u'NN', u'.']]","[[u'21-21/ended[AM-MOD=19-19/could, A1=22-26/the_production_of_Damascus_steel]', u'29-29/led[AM-TMP=28-28/eventually, A2=30-35/to_the_loss_of_the_technique]']]","Due to the distance of trade for this raw material, a sufficiently lengthy disruption of the trade routes could have ended the production of Damascus steel and eventually led to the loss of the technique.",edcb8aa7-038f-4bd8-a426-a966b8995c84
[u'(TOP (S (NP (NP (DT The) (NN process)) (PP (IN of) (NP (NN forging) (CC and) (NN annealing)))) (VP (VBZ is) (VP (VBN thought) (S (VP (TO to) (VP (VB have) (VP (VBN accounted) (PP (IN for) (NP (DT the) (NN nano-scale) (NNS structures))))))))) (. .)))'],"[{u'Tokens': [], u'Len': 0, u'Offset': 0}]","[[u'DT', u'NN', u'IN', u'VBG', u'CC', u'VBG', u'VBZ', u'VBN', u'TO', u'VB', u'VBN', u'IN', u'DT', u'JJ', u'NNS', u'.']]","[[u'7-7/thought[A1=0-5/The_process_of_forging_and_annealing, C-A1=8-14/to_have_accounted_for_the_nano-scale_structures]', u'10-10/accounted[A0=0-5/The_process_of_forging_and_annealing, A1=11-14/for_the_nano-scale_structures]']]",The process of forging and annealing is thought to have accounted for the nano-scale structures.,f4bdb0ca-84ae-4ecf-a123-3bfc68218835
[u'(TOP (S (NP (CD Two) (JJ main) (NNS approaches)) (VP (VBP are) (VP (VBN used) (PP (IN in) (NP (NN nanotechnology))))) (. .)))'],"[{u'Tokens': [], u'Len': 0, u'Offset': 0}]","[[u'CD', u'JJ', u'NNS', u'VBP', u'VBN', u'IN', u'NN', u'.']]","[[u'4-4/used[A1=0-2/Two_main_approaches, AM-LOC=5-6/in_nanotechnology]']]",Two main approaches are used in nanotechnology.,86699028-e3e4-4515-8668-bf6d98c8a07a
[u'(TOP (S (NP (DT This) (NN discourse)) (VP (VBZ supports) (NP (NP (JJ global) (NN cooperation)) (CC and) (NN interaction)) (SBAR (IN while) (S (VP (VBG opposing) (NP (NP (DT some)) (PP (IN of) (NP (NP (DT the) (JJ negative) (NNS effects)) (PP (IN of) (NP (NN globalization)))))))))) (. .)))'],"[{u'Tokens': [], u'Len': 0, u'Offset': 0}]","[[u'DT', u'NN', u'VBZ', u'JJ', u'NN', u'CC', u'NN', u'IN', u'VBG', u'DT', u'IN', u'DT', u'JJ', u'NNS', u'IN', u'NN', u'.']]","[[u'2-2/supports[A0=0-1/This_discourse, A1=3-6/global_cooperation_and_interaction, AM-TMP=7-15/while_opposing_some_of_the_negative_effects_of_globalization]', u'8-8/opposing[A0=0-1/This_discourse, A1=9-15/some_of_the_negative_effects_of_globalization]']]",This discourse supports global cooperation and interaction while opposing some of the negative effects of globalization.,889f592b-7380-44d2-bd22-9a965e8dba8c
"[u""(TOP (S (S (NP (DT The) (NN writing)) (VP (VBZ says) (PP (IN about) (NP (DT the) (NN disease))))) (, ,) (`` `) (S (NP (EX There)) (VP (VBZ is) (NP (DT no) (NN treatment)))) (. .) ('' ')))""]","[{u'Tokens': [], u'Len': 0, u'Offset': 0}]","[[u'DT', u'NN', u'VBZ', u'IN', u'DT', u'NN', u',', u'``', u'EX', u'VBZ', u'DT', u'NN', u'.', u""''""]]","[[u'2-2/says[A0=0-1/The_writing, A3=3-5/about_the_disease]', u'9-9/is[A0=8-8/There, A1=10-11/no_treatment]']]","The writing says about the disease, 'There is no treatment.'",bdc0602a-d8ee-48ef-9d21-30f4726f2b80
[u'(TOP (S (NP (PRP He)) (VP (MD could) (RB not) (VP (VB do) (NP (DT both)) (PP (IN in) (NP (DT the) (NN time))) (JJ available))) (. .)))'],"[{u'Tokens': [], u'Len': 0, u'Offset': 0}]","[[u'PRP', u'MD', u'RB', u'VB', u'DT', u'IN', u'DT', u'NN', u'JJ', u'.']]","[[u'3-3/do[A0=0-0/He, AM-MOD=1-1/could, AM-NEG=2-2/not, A1=4-4/both, AM-TMP=5-7/in_the_time]']]",He could not do both in the time available.,8de4eeb1-c4e2-44fb-93e9-ff60eab6443c
"[u'(TOP (S (NP (PRP$ His) (NN role)) (, ,) (PP (IN like) (NP (NP (DT that)) (PP (IN of) (NP (NP (JJ many)) (PP (IN of) (NP (DT the) (NNP Norse) (NNS gods))))))) (, ,) (VP (VBZ is) (JJ complex)) (. .)))']","[{u'Tokens': [], u'Len': 0, u'Offset': 0}]","[[u'PRP$', u'NN', u',', u'IN', u'IN', u'IN', u'JJ', u'IN', u'DT', u'NNP', u'NNS', u',', u'VBZ', u'JJ', u'.']]","[[u'12-12/is[A1=0-1/His_role, AM-ADV=3-10/like_that_of_many_of_the_Norse_gods]']]","His role, like that of many of the Norse gods, is complex.",021881ec-58ce-4583-bd9f-249f381f15b0
"[u""(TOP (S (NP (NP (NNP Norwood) (NNP Russell) (NNP Hanson)) (, ,) (NP (NNP Imre) (NNP Lakatos)) (CC and) (NP (NNP Thomas) (NNP Kuhn))) (VP (VBP have) (VP (VBN done) (NP (JJ extensive) (NN work)) (PP (IN on) (NP (NP (NP (DT the) (`` `) (NN theory) (NN laden) (POS ')) (NN character)) (PP (IN of) (NP (NN observation))))))) (. .)))""]","[{u'Tokens': [{u'NormalizedToken': u'LOC', u'RawToken': None, u'Len': 22, u'Offset': 0}, {u'NormalizedToken': u'PERS', u'RawToken': None, u'Len': 11, u'Offset': 42}], u'Len': 0, u'Offset': 0}]","[[u'NNP', u'NNP', u'NNP', u',', u'NNP', u'NNP', u'CC', u'NNP', u'NNP', u'VBP', u'VBN', u'JJ', u'NN', u'IN', u'DT', u'``', u'NN', u'JJ', u'POS', u'NN', u'IN', u'NN', u'.']]","[[u""10-10/done[A0=0-8/Norwood_Russell_Hanson_,_Imre_Lakatos_and_Thomas_Kuhn, A1=11-12/extensive_work, A2=13-21/on_the_`_theory_laden_'_character_of_observation]""]]","Norwood Russell Hanson , Imre Lakatos and Thomas Kuhn have done extensive work on the 'theory laden' character of observation.",489d9af3-f908-4bf9-ad45-23c62766f6a9
"[u'(TOP (S (NP (DT These) (NNS areas)) (VP (VBP have) (VP (VBN been) (VP (VBN affected) (PP (IN by) (NP (NP (DT some)) (PP (IN of) (NP (NP (DT the) (JJ many) (NNS invasions)) (PP (IN of) (NP (NP (NNP North) (NNP Africa)) (, ,) (ADVP (RBS most) (RB recently)) (NP (NP (DT that)) (PP (IN of) (NP (DT the) (NNP French))))))))))))) (. .)))']","[{u'Tokens': [{u'NormalizedToken': u'LOC', u'RawToken': None, u'Len': 12, u'Offset': 64}], u'Len': 0, u'Offset': 0}]","[[u'DT', u'NNS', u'VBP', u'VBN', u'VBN', u'IN', u'DT', u'IN', u'DT', u'JJ', u'NNS', u'IN', u'NNP', u'NNP', u',', u'JJS', u'RB', u'IN', u'IN', u'DT', u'JJ', u'.']]","[[u'4-4/affected[A1=0-1/These_areas, A0=5-20/by_some_of_the_many_invasions_of_North_Africa_,_most_recently_that_of_the_French]']]","These areas have been affected by some of the many invasions of North Africa, most recently that of the French .",14af7dc6-2eae-44c4-abdb-23aa6314902a
[u'(TOP (S (NP (NP (DT The) (NNP Battle)) (PP (IN of) (NP (NNP Badr)))) (VP (VBD began) (PP (IN in) (NP (NNP March))) (PP (IN of) (CD 624))) (. .)))'],"[{u'Tokens': [{u'NormalizedToken': u'LOC', u'RawToken': None, u'Len': 18, u'Offset': 0}], u'Len': 0, u'Offset': 0}]","[[u'DT', u'NNP', u'IN', u'NNP', u'VBD', u'IN', u'NNP', u'IN', u'CD', u'.']]","[[u'4-4/began[A1=0-3/The_Battle_of_Badr, AM-TMP=5-6/in_March, AM-ADV=7-8/of_624]']]",The Battle of Badr began in March of 624.,4372a735-87fc-4e5b-91cf-03807c1041b6
"[u""(TOP (S (ADVP (RB Together)) (, ,) (NP (DT the) (CD two)) (VP (VBD created) (NP (DT a) (ADJP (JJ powerful) (CC and) (JJ popular)) (NNP Islamist) (NN party)) (PP (IN by) (S (VP (ADVP (RB classically)) (VBG appealing) (S (VP (TO to) (VP (VB fundamentalist) (NP (JJ Islamic) (NNS principals)) (SBAR (IN while) (S (VP (VBG blaming) (NP (NP (DT the) (NN world) (POS 's)) (NNS problems)) (PP (IN on) (NP (DT the) (NNPS Jews))))))))))))) (. .)))""]","[{u'Tokens': [{u'NormalizedToken': u'LOC', u'RawToken': None, u'Len': 8, u'Offset': 0}, {u'NormalizedToken': u'PERS', u'RawToken': None, u'Len': 4, u'Offset': 168}], u'Len': 0, u'Offset': 0}]","[[u'RB', u',', u'DT', u'CD', u'VBN', u'DT', u'JJ', u'CC', u'JJ', u'NN', u'NN', u'IN', u'RB', u'VBG', u'TO', u'VB', u'JJ', u'NNS', u'IN', u'VBG', u'DT', u'NN', u'POS', u'NNS', u'IN', u'DT', u'NNPS', u'.']]","[[u""4-4/created[AM-TMP=0-0/Together, A0=2-3/the_two, A1=5-10/a_powerful_and_popular_Islamist_party, AM-MNR=11-26/by_classically_appealing_to_fundamentalist_Islamic_principals_while_blaming_the_world_'s_problems_on_the_Jews]"", u""13-13/appealing[A0=2-3/the_two, AM-ADV=12-12/classically, A1=14-26/to_fundamentalist_Islamic_principals_while_blaming_the_world_'s_problems_on_the_Jews]"", u""15-15/fundamentalist[A1=16-17/Islamic_principals, AM-ADV=18-26/while_blaming_the_world_'s_problems_on_the_Jews]"", u""19-19/blaming[A1=20-23/the_world_'s_problems, A1=24-26/on_the_Jews]""]]","Together, the two created a powerful and popular Islamist party by classically appealing to fundamentalist Islamic principals while blaming the world's problems on the Jews.",8f6151e9-2ec9-4877-bdb0-32e34c32a003
[u'(TOP (S (VP (VB See) (NP (ADJP (RB also) (JJ Japanese)) (NNP New) (NNP Year))) (. .)))'],"[{u'Tokens': [{u'NormalizedToken': u'LOC', u'RawToken': None, u'Len': 8, u'Offset': 18}], u'Len': 0, u'Offset': 0}]","[[u'VB', u'RB', u'JJ', u'NNP', u'NN', u'.']]",[[u'0-0/See[A1=1-4/also_Japanese_New_Year]']],See also Japanese New Year .,64ce3e49-720c-4fc9-96f5-20cecc3dcd47
"[u""(TOP (S (NP (DT Some) (NNS historians)) (VP (VBP have) (VP (VBN estimated) (SBAR (IN that) (S (NP (NP (NNP Iran) (POS 's)) (NN population)) (VP (VBD did) (RB not) (ADVP (RB again)) (VP (VB reach) (NP (PRP$ its) (JJ pre-Mongol) (NNS levels)) (PP (IN until) (NP (DT the) (JJ mid-20th) (NN century))))))))) (. .)))""]","[{u'Tokens': [{u'NormalizedToken': u'LOC', u'RawToken': None, u'Len': 4, u'Offset': 36}], u'Len': 0, u'Offset': 0}]","[[u'DT', u'NNS', u'VBP', u'VBN', u'IN', u'NNP', u'POS', u'NN', u'VBD', u'RB', u'RB', u'VB', u'PRP$', u'JJ', u'NNS', u'IN', u'DT', u'JJ', u'NN', u'.']]","[[u""3-3/estimated[A0=0-1/Some_historians, A1=4-18/that_Iran_'s_population_did_not_again_reach_its_pre-Mongol_levels_until_the_mid-20th_century]"", u""11-11/reach[A0=5-7/Iran_'s_population, AM-NEG=9-9/not, AM-TMP=10-10/again, A1=12-14/its_pre-Mongol_levels, AM-TMP=15-18/until_the_mid-20th_century]""]]",Some historians have estimated that Iran's population did not again reach its pre-Mongol levels until the mid-20th century.,d7d016fb-fbc5-4cf3-a0a2-86e362b034e1
